Province_State,Country_Region,Lat,Long,Date,Confirmed Cases
Rio de Janeiro,Brazil,-22.911,-43.206,03/21/20,10
Rio Grande do Norte,Brazil,-5.783,-35.2,03/21/20,3
Rondonia,Brazil,-8.762,-63.904,03/21/20,2
Roraima,Brazil,2.819,-60.671,03/21/20,2
Rio Grande do Sul,Brazil,-30.033,-51.23,03/21/20,26
Santa Catarina,Brazil,-27.612,-48.485,03/21/20,17
Sergipe,Brazil,-10.917,-37.05,03/21/20,3
Sao Paulo,Brazil,-23.55,-46.633,03/21/20,63
Tocantins,Brazil,-10.184,-48.334,03/21/20,1
Brazil,Brazil,-14.2,-51.9,03/21/20,224
Acre,Brazil,-9.975,-67.81,03/22/20,0
Alagoas,Brazil,-9.666,-35.735,03/22/20,0
Amazonas,Brazil,-3.1,-60.017,03/22/20,15
Amapa,Brazil,0.034,-51.066,03/22/20,0
Bahia,Brazil,-12.975,-38.477,03/22/20,14
Ceara,Brazil,-3.728,-38.528,03/22/20,41
Distrito Federal,Brazil,-15.794,-47.883,03/22/20,9
Espirito Santo,Brazil,-20.289,-40.308,03/22/20,0
Goias,Brazil,-16.667,-49.25,03/22/20,1
Maranhao,Brazil,-2.528,-44.304,03/22/20,0
Minas Gerais,Brazil,-19.917,-43.933,03/22/20,28
Mato Grosso do Sul,Brazil,-20.484,-54.615,03/22/20,5
Mato Grosso,Brazil,-15.596,-56.096,03/22/20,0
Para,Brazil,-1.456,-48.504,03/22/20,2
Paraiba,Brazil,-7.083,-34.833,03/22/20,0
Pernambuco,Brazil,-8.05,-34.9,03/22/20,4
Piaui,Brazil,-5.095,-42.8042,03/22/20,2
Parana,Brazil,-25.417,-49.25,03/22/20,10
Rio de Janeiro,Brazil,-22.911,-43.206,03/22/20,67
Rio Grande do Norte,Brazil,-5.783,-35.2,03/22/20,4
Rondonia,Brazil,-8.762,-63.904,03/22/20,0
Roraima,Brazil,2.819,-60.671,03/22/20,0
Rio Grande do Sul,Brazil,-30.033,-51.23,03/22/20,8
Santa Catarina,Brazil,-27.612,-48.485,03/22/20,11
Sergipe,Brazil,-10.917,-37.05,03/22/20,0
Sao Paulo,Brazil,-23.55,-46.633,03/22/20,172
Tocantins,Brazil,-10.184,-48.334,03/22/20,3
Brazil,Brazil,-14.2,-51.9,03/22/20,396
Acre,Brazil,-9.975,-67.81,03/23/20,6
Alagoas,Brazil,-9.666,-35.735,03/23/20,1
Amazonas,Brazil,-3.1,-60.017,03/23/20,6
Amapa,Brazil,0.034,-51.066,03/23/20,0
Bahia,Brazil,-12.975,-38.477,03/23/20,8
Ceara,Brazil,-3.728,-38.528,03/23/20,39
Distrito Federal,Brazil,-15.794,-47.883,03/23/20,21
Espirito Santo,Brazil,-20.289,-40.308,03/23/20,7
Goias,Brazil,-16.667,-49.25,03/23/20,2
Maranhao,Brazil,-2.528,-44.304,03/23/20,6
Minas Gerais,Brazil,-19.917,-43.933,03/23/20,45
Mato Grosso do Sul,Brazil,-20.484,-54.615,03/23/20,0
Mato Grosso,Brazil,-15.596,-56.096,03/23/20,4
Para,Brazil,-1.456,-48.504,03/23/20,1
Paraiba,Brazil,-7.083,-34.833,03/23/20,1
Pernambuco,Brazil,-8.05,-34.9,03/23/20,5
Piaui,Brazil,-5.095,-42.8042,03/23/20,0
Parana,Brazil,-25.417,-49.25,03/23/20,6
Rio de Janeiro,Brazil,-22.911,-43.206,03/23/20,47
Rio Grande do Norte,Brazil,-5.783,-35.2,03/23/20,0
Rondonia,Brazil,-8.762,-63.904,03/23/20,0
Roraima,Brazil,2.819,-60.671,03/23/20,0
Rio Grande do Sul,Brazil,-30.033,-51.23,03/23/20,19
Santa Catarina,Brazil,-27.612,-48.485,03/23/20,18
