Province_State,Country_Region,Lat,Long,Date,Confirmed Cases
Rio de Janeiro,Brazil,-22.911,-43.206,2020-03-22,67
Rio Grande do Norte,Brazil,-5.783,-35.2,2020-03-22,4
Rondonia,Brazil,-8.762,-63.904,2020-03-22,0
Roraima,Brazil,2.819,-60.671,2020-03-22,0
Rio Grande do Sul,Brazil,-30.033,-51.23,2020-03-22,8
Santa Catarina,Brazil,-27.612,-48.485,2020-03-22,11
Sergipe,Brazil,-10.917,-37.05,2020-03-22,0
Sao Paulo,Brazil,-23.55,-46.633,2020-03-22,172
Tocantins,Brazil,-10.184,-48.334,2020-03-22,3
Brazil,Brazil,-14.2,-51.9,2020-03-22,396
Acre,Brazil,-9.975,-67.81,2020-03-23,6
Alagoas,Brazil,-9.666,-35.735,2020-03-23,1
Amazonas,Brazil,-3.1,-60.017,2020-03-23,6
Amapa,Brazil,0.034,-51.066,2020-03-23,0
Bahia,Brazil,-12.975,-38.477,2020-03-23,8
Ceara,Brazil,-3.728,-38.528,2020-03-23,39
Distrito Federal,Brazil,-15.794,-47.883,2020-03-23,21
Espirito Santo,Brazil,-20.289,-40.308,2020-03-23,7
Goias,Brazil,-16.667,-49.25,2020-03-23,2
Maranhao,Brazil,-2.528,-44.304,2020-03-23,6
Minas Gerais,Brazil,-19.917,-43.933,2020-03-23,45
Mato Grosso do Sul,Brazil,-20.484,-54.615,2020-03-23,0
Mato Grosso,Brazil,-15.596,-56.096,2020-03-23,4
Para,Brazil,-1.456,-48.504,2020-03-23,1
Paraiba,Brazil,-7.083,-34.833,2020-03-23,1
Pernambuco,Brazil,-8.05,-34.9,2020-03-23,5
Piaui,Brazil,-5.095,-42.8042,2020-03-23,0
Parana,Brazil,-25.417,-49.25,2020-03-23,6
Rio de Janeiro,Brazil,-22.911,-43.206,2020-03-23,47
Rio Grande do Norte,Brazil,-5.783,-35.2,2020-03-23,0
Rondonia,Brazil,-8.762,-63.904,2020-03-23,0
Roraima,Brazil,2.819,-60.671,2020-03-23,0
Rio Grande do Sul,Brazil,-30.033,-51.23,2020-03-23,19
Santa Catarina,Brazil,-27.612,-48.485,2020-03-23,18
Sergipe,Brazil,-10.917,-37.05,2020-03-23,0
Sao Paulo,Brazil,-23.55,-46.633,2020-03-23,114
Tocantins,Brazil,-10.184,-48.334,2020-03-23,2
Brazil,Brazil,-14.2,-51.9,2020-03-23,358
Acre,Brazil,-9.975,-67.81,2020-03-24,4
Alagoas,Brazil,-9.666,-35.735,2020-03-24,2
Amazonas,Brazil,-3.1,-60.017,2020-03-24,15
Amapa,Brazil,0.034,-51.066,2020-03-24,0
Bahia,Brazil,-12.975,-38.477,2020-03-24,16
Ceara,Brazil,-3.728,-38.528,2020-03-24,21
Distrito Federal,Brazil,-15.794,-47.883,2020-03-24,23
Espirito Santo,Brazil,-20.289,-40.308,2020-03-24,7
Goias,Brazil,-16.667,-49.25,2020-03-24,6
Maranhao,Brazil,-2.528,-44.304,2020-03-24,0
Minas Gerais,Brazil,-19.917,-43.933,2020-03-24,2
Mato Grosso do Sul,Brazil,-20.484,-54.615,2020-03-24,3
Mato Grosso,Brazil,-15.596,-56.096,2020-03-24,1
Para,Brazil,-1.456,-48.504,2020-03-24,0
Paraiba,Brazil,-7.083,-34.833,2020-03-24,1
Pernambuco,Brazil,-8.05,-34.9,2020-03-24,0
Piaui,Brazil,-5.095,-42.8042,2020-03-24,2
Parana,Brazil,-25.417,-49.25,2020-03-24,10
Rio de Janeiro,Brazil,-22.911,-43.206,2020-03-24,72
Rio Grande do Norte,Brazil,-5.783,-35.2,2020-03-24,1
Rondonia,Brazil,-8.762,-63.904,2020-03-24,2
Roraima,Brazil,2.819,-60.671,2020-03-24,6
Rio Grande do Sul,Brazil,-30.033,-51.23,2020-03-24,16
Santa Catarina,Brazil,-27.612,-48.485,2020-03-24,23
Sergipe,Brazil,-10.917,-37.05,2020-03-24,5
